Code,PIN,Name,Type,Block,Organiser,Designation,Contact,Email,Target
3933,3933,"Regional Office, Dindigul",Regional Office,,,,,,0
332,3933,Dindigul Main,Branch,,,,,,0
1314,3933,Dindigul Fort,Branch,,,,,,0
1830,3933,Dindigul Collectorate,Government Office,,,,,,0
4069,3933,"Loan Processing Centre, Dindigul",Processing Centre,,,,,,0
2098,3933,RM Colony,Branch,,,,,,0
910,3933,Sembatti,Branch,,,,,,0
911,3933,Kalwarpatti,Branch,,,,,,0
924,3933,Puduchatram,Branch,,,,,,0
1013,3933,Reddiapatti,Branch,,,,,,0
1044,3933,Lakshmipuram,Branch,,,,,,0
1112,3933,Nagayakottai,Branch,,,,,,0
1152,3933,Narikkalpatti,Branch,,,,,,0
1220,3933,Salaiyur,Branch,,,,,,0
1221,3933,Marambadi,Branch,,,,,,0
1258,3933,Oddanchatram,Branch,,,,,,0
1316,3933,Palayam,Branch,,,,,,0
1317,3933,N Paraipatti,Branch,,,,,,0
1401,3933,Silukkuwarpatti,Branch,,,,,,0
1789,3933,Tamaraikulam,Branch,,,,,,0
2286,3933,Batlagundu,Branch,,,,,,0
2287,3933,Andipatti,Branch,,,,,,0
2288,3933,Natham,Branch,,,,,,0
2461,3933,Vadamadurai,Branch,,,,,,0
2464,3933,Nilakottai,Branch,,,,,,0
2685,3933,Silapadi,Branch,,,,,,0
2686,3933,Chinnalapatti,Branch,,,,,,0
2702,3933,KK Patti,Branch,,,,,,0
2703,3933,PC Patti,Branch,,,,,,0
2704,3933,T Subbulapuram,Branch,,,,,,0
2705,3933,V Gopalpatti,Branch,,,,,,0
2706,3933,K Reddiarchatram,Branch,,,,,,0
3164,3933,Sendurai,Branch,,,,,,0
3165,3933,Ponnagaram,Branch,,,,,,0
3166,3933,Thadikombu,Branch,,,,,,0
3346,3933,Vangamanuthu,Branch,,,,,,0
3347,3933,Anaipatti,Branch,,,,,,0
3436,3933,Kodaikanal,Branch,,,,,,0
3437,3933,Dharumathupatti,Branch,,,,,,0
3549,3933,Ambilikai,Branch,,,,,,0
3920,3933,Balakrishnapuram,Branch,,,,,,0
4153,3933,Kosavapatti,Branch,,,,,,0
232,3933,Pannaikadu,Branch,,,,,,0
237,3933,Sithayamkottai,Branch,,,,,,0
243,3933,Pattiveeranpatti,Branch,,,,,,0
230,3933,Vedasandur,Branch,,,,,,0
376,3933,Palani,Branch,,,,,,0
175,3933,Ayakudi,Branch,,,,,,0
883,3933,Rasingapuram,Branch,,,,,,0
174,3933,Theni Allinagaram,Branch,,,,,,0
176,3933,Cumbum,Branch,,,,,,0
1560,3933,Chinnamanur,Branch,,,,,,0
1919,3933,Uthamapalayam,Branch,,,,,,0
1931,3933,Periyakulam,Branch,,,,,,0
2574,3933,Bodinayakanur,Branch,,,,,,0
3548,3933,Boothipuram,Branch,,,,,,0
1896,3933,Theni Medical College,College / Institution,,,,,,0
